Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/05/2024,03/07/2024,VIENA SNACK TC     QPS,Food & Drink,Sale,-14.98,
03/06/2024,03/06/2024,UBER   TRIP,Travel,Sale,-59.47,
03/01/2024,03/03/2024,GOOGLE *ADS6446937921,Professional Services,Sale,-247.59,
03/01/2024,03/03/2024,GOOGLE *ADS9148409960,Professional Services,Sale,-66.46,
03/01/2024,03/03/2024,GOOGLE *ADS2700665497,Professional Services,Sale,-180.11,
03/01/2024,03/03/2024,GOOGLE *ADS5464112998,Professional Services,Sale,-200.38,
02/29/2024,02/29/2024,Payment Thank You-Mobile,,Payment,800.00,
02/26/2024,02/27/2024,GOOGLE *ADS9148409960,Professional Services,Sale,-500.00,
02/23/2024,02/23/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-32.24,
02/21/2024,02/22/2024,GOOGLE *ADS5464112998,Professional Services,Sale,-200.00,
02/07/2024,02/07/2024,Payment Thank You-Mobile,,Payment,800.00,
02/04/2024,02/05/2024,USPS CHANGE OF ADDRESS,Shopping,Sale,-1.10,
02/03/2024,02/04/2024,APF*Saint Augustine Unive,Professional Services,Sale,-538.14,
